NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
1;20;472.22;65.25;63.43;59.24;62.81;8;39.4444444444444;0;9;9;0;4;4;0;1;4;1;35.0;1;0.0;0;2;45.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;1;11.25
2;0;478.78;62.84;58.68;59.24;53.56;8;31.8;1;19;15;4;7;6;1;1;4;5;22.5;2;30.0;1;2;40.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;36.0;1;2;2;31.65625
3;20;465.59;78.22;66.74;49.87;88.67;19;30.833333333333332;1;21;15;6;7;5;2;1;4;3;30.0;1;23.75;4;2;35.0;1;3;40.0;1;1;15.0;1;2;40.0;1;1;40.0;1;2;1;26.53846153846154
4;10;491.36;72.55;56.51;65.0;53.32;10;31.153846153846153;1;21;13;8;6;5;1;1;4;10;20.0;3;40.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;2;33.333333333333336
5;20;464.62;67.54;64.0;62.54;53.32;20;36.333333333333336;0;15;15;0;7;7;0;1;4;5;30.0;1;35.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;35.0;1;1;45.0;1;2;2;34.78125
6;15;465.73;75.27;58.93;55.99;65.86;16;35.333333333333336;1;18;15;3;7;7;0;1;4;5;30.0;1;40.0;1;2;30.0;2;3;35.0;1;1;40.0;1;2;45.0;1;1;40.0;1;2;2;35.0
7;6;555.13;89.86;81.3;58.09;45.98;5;23.846153846153847;1;21;13;8;6;4;2;2;4;1;15.0;3;15.0;1;2;30.0;1;3;35.0;1;1;30.0;1;2;35.0;1;1;0.0;0;2;1;25.714285714285715
8;9;491.66;89.86;54.12;65.0;53.32;9;38.07692307692308;0;13;13;0;6;6;0;1;4;1;45.0;1;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;0.0;0;2;2;36.25
9;15;478.1;72.55;56.51;53.95;69.48;5;38.666666666666664;1;19;15;4;7;7;0;1;4;5;30.0;2;40.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;50.0;1;2;2;34.3125
10;15;465.69;67.54;56.51;58.09;62.69;18;33.666666666666664;1;19;15;4;7;6;1;1;4;5;22.5;2;40.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;34.5625
11;16;473.19;53.2;64.0;62.54;49.65;16;32.53333333333333;1;27;15;12;7;6;1;1;4;5;23.75;4;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;39.0;1;2;2;30.833333333333332
12;20;494.25;65.16;66.74;62.54;62.69;20;34.2;0;15;15;0;7;7;0;1;4;5;30.0;1;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;39.0;1;2;2;33.09375
13;1;459.45;65.16;61.41;53.95;58.45;13;15.0;0;9;9;0;4;0;4;2;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
14;20;511.68;58.13;56.51;55.99;71.53;20;36.15384615384615;0;13;13;0;6;6;0;1;4;1;30.0;1;0.0;0;2;35.0;1;3;45.0;1;1;35.0;1;2;40.0;1;1;45.0;1;2;2;37.5
15;9;488.76;75.27;58.93;79.45;88.67;8;37.93333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;35.0;1;2;40.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;32.0;1;2;2;39.0625
16;20;463.75;62.82;76.74;58.09;47.21;20;35.4;0;15;15;0;7;7;0;1;4;5;30.0;1;50.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;45.0;1;1;33.0;1;2;2;33.3125
17;0;478.39;78.22;64.0;55.99;69.48;10;26.818181818181817;0;11;11;0;5;2;3;2;4;1;25.0;1;0.0;0;2;15.0;1;3;20.0;1;1;0.0;0;2;40.0;1;1;45.0;1;2;1;17.666666666666668
18;20;477.27;81.5;58.93;58.09;69.48;20;32.733333333333334;1;19;15;4;7;6;1;1;4;5;22.5;2;40.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;45.0;1;1;33.0;1;2;2;32.03125
19;10;476.73;65.16;64.0;53.95;48.43;10;31.153846153846153;1;25;13;12;6;5;1;1;4;1;20.0;4;30.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;0.0;0;2;1;28.125
20;18;488.95;69.99;58.93;60.25;54.57;18;37.2;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;30.0;1;3;40.0;1;1;45.0;1;2;40.0;1;1;39.0;1;2;2;36.375
21;20;470.3;69.99;64.0;60.25;62.69;20;33.4;1;19;15;4;7;6;1;1;4;5;27.5;2;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;38.0;1;2;2;36.34375
22;14;498.96;85.28;54.12;62.54;57.13;7;41.666666666666664;0;15;15;0;7;7;0;1;4;1;45.0;1;45.0;1;2;40.0;1;3;35.0;1;1;35.0;1;2;40.0;1;1;45.0;1;2;3;40.892857142857146
23;20;459.4;67.54;58.93;60.25;65.86;20;34.666666666666664;0;15;15;0;7;7;0;1;4;5;35.0;1;30.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;35.0;1;1;30.0;1;2;2;33.1875
24;9;476.9;62.82;58.93;55.99;83.41;9;35.333333333333336;0;15;15;0;7;7;0;1;4;1;35.0;1;35.0;1;2;35.0;1;3;35.0;1;1;35.0;1;2;40.0;1;1;35.0;1;2;2;32.3125
25;16;469.39;60.49;64.0;62.54;48.43;19;15.0;0;9;9;0;4;0;4;2;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
26;0;499.77;73.29;58.68;59.24;55.64;19;33.833333333333336;2;22;15;7;7;6;1;1;4;5;30.0;2;40.0;1;2;27.5;2;3;35.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;30.3125
27;10;486.46;72.55;51.73;62.54;71.53;10;38.333333333333336;0;15;15;0;7;7;0;1;4;5;40.0;1;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;35.0;1;2;2;36.625
28;2;465.84;75.27;64.0;55.99;76.45;11;37.0;0;15;15;0;7;7;0;1;4;5;35.0;1;30.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;45.0;1;2;2;38.0
29;6;481.74;78.22;56.51;58.09;59.81;6;38.333333333333336;0;9;9;0;4;4;0;1;4;1;35.0;1;0.0;0;2;40.0;1;3;45.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;2;30.0
30;10;425.89;72.55;64.0;49.87;48.43;10;35.06666666666667;1;19;15;4;7;6;1;1;4;5;25.0;2;40.0;1;2;30.0;1;3;40.0;1;1;45.0;1;2;40.0;1;1;43.0;1;2;2;36.5625
31;14;463.31;72.55;51.73;53.95;64.23;18;33.13333333333333;1;19;15;4;7;6;1;1;4;5;25.0;2;35.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;35.0;1;1;41.0;1;2;2;30.46875
32;7;479.42;75.27;61.41;65.0;64.23;6;37.666666666666664;0;15;15;0;7;7;0;1;4;5;40.0;1;30.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.25
33;10;455.39;65.16;69.69;65.0;71.53;10;35.0;0;11;11;0;5;5;0;1;4;10;30.0;1;0.0;0;2;35.0;1;3;45.0;1;1;40.0;1;2;35.0;1;1;0.0;0;2;2;30.0
34;0;467.41;65.16;58.93;62.54;59.81;4;30.144444444444446;2;26;15;11;7;5;2;1;4;1;21.666666666666668;3;30.0;1;2;27.5;2;3;35.0;1;1;40.0;1;2;40.0;1;1;34.0;1;2;1;27.53125
35;20;468.78;69.99;58.93;45.64;67.6;20;35.4;0;15;15;0;7;7;0;1;4;1;30.0;1;35.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;35.0;1;1;38.0;1;2;2;33.1875
36;21;482.52;75.27;61.41;55.99;57.13;21;31.53846153846154;0;13;13;0;6;6;0;1;4;1;30.0;1;30.0;1;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;1;29.375
37;0;456.98;72.55;56.51;58.09;0.0;20;26.11111111111111;0;9;9;0;4;2;2;2;4;10;20.0;1;0.0;0;2;25.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;1;18.75
38;20;462.28;65.16;64.0;53.95;57.13;20;35.13333333333333;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;41.0;1;2;2;36.875
39;13;482.52;65.16;61.41;60.25;59.81;13;37.0;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;45.0;1;2;2;35.46875
40;16;456.64;58.13;66.74;60.25;79.55;18;33.6;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;32.0;1;2;2;33.125
41;6;457.91;85.28;61.41;65.0;59.81;7;36.333333333333336;0;15;15;0;7;7;0;1;4;5;35.0;1;35.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;35.0;1;1;35.0;1;2;2;30.25
42;6;450.16;72.55;58.93;51.92;59.81;8;27.272727272727273;1;15;11;4;5;2;3;2;4;1;25.0;2;0.0;0;2;25.0;1;3;35.0;1;1;25.0;1;2;40.0;1;1;0.0;0;2;1;28.333333333333332
43;10;486.91;85.28;51.73;65.0;57.13;12;22.77777777777778;0;9;9;0;4;2;2;2;4;10;15.0;1;0.0;0;2;30.0;1;3;20.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;18.75
44;19;490.11;72.55;69.69;60.25;59.81;19;33.46666666666667;1;17;15;2;7;7;0;1;4;5;30.0;1;30.0;2;2;30.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;36.0;1;2;2;30.15625
45;10;467.75;81.5;51.73;55.99;54.57;2;38.0;0;15;15;0;7;7;0;1;4;5;30.0;1;35.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;50.0;1;2;2;32.90625
46;12;456.92;75.27;56.51;55.99;65.86;10;36.333333333333336;0;15;15;0;7;7;0;1;4;5;30.0;1;35.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;45.0;1;2;3;40.625
47;21;461.49;65.16;64.0;55.99;76.45;10;23.88888888888889;0;9;9;0;4;3;1;2;4;10;15.0;1;0.0;0;2;30.0;1;3;35.0;1;1;0.0;0;2;30.0;1;1;0.0;0;2;1;15.0
48;14;500.12;85.28;54.12;58.09;65.86;14;40.45454545454545;0;11;11;0;5;5;0;1;4;1;45.0;1;0.0;0;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;0.0;0;2;1;27.857142857142858
49;21;471.41;75.27;61.41;53.95;47.21;21;20.0;0;9;9;0;4;0;4;2;4;10;20.0;1;0.0;0;2;20.0;1;3;15.0;1;1;0.0;0;2;25.0;1;1;0.0;0;2;1;11.25
50;10;408.37;53.2;56.51;53.95;48.43;10;23.717948717948715;2;33;13;20;6;4;2;2;4;1;12.0;5;12.666666666666666;3;2;30.0;1;3;45.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;1;20.228571428571428
51;14;483.34;62.82;64.0;58.09;54.57;8;32.69230769230769;1;17;13;4;6;5;1;1;4;1;32.5;2;0.0;0;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;15.0;1;2;1;27.857142857142858
52;6;491.58;62.82;56.51;70.81;73.83;6;34.666666666666664;1;23;15;8;7;6;1;1;4;5;25.0;3;40.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;45.0;1;1;40.0;1;2;2;32.40625
53;16;467.79;78.22;58.93;55.99;67.6;8;38.0;0;15;15;0;7;7;0;1;4;5;30.0;1;45.0;1;2;35.0;1;3;45.0;1;1;40.0;1;2;40.0;1;1;45.0;1;2;2;35.40625
54;18;401.54;56.19;40.38;50.92;44.86;3;29.733333333333334;2;34;15;19;7;6;1;2;4;5;19.0;5;35.0;1;2;30.0;2;3;30.0;1;1;30.0;1;2;40.0;1;1;40.0;1;2;2;33.125
55;21;455.49;72.55;58.93;60.25;42.2;21;35.333333333333336;1;19;15;4;7;6;1;1;4;5;25.0;2;45.0;1;2;35.0;1;3;35.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;38.375
56;20;501.68;67.54;69.69;70.81;59.81;20;34.2;0;15;15;0;7;7;0;1;4;5;35.0;1;30.0;1;2;30.0;1;3;35.0;1;1;35.0;1;2;40.0;1;1;39.0;1;2;2;32.09375
57;14;471.02;61.68;58.17;57.59;51.96;8;39.666666666666664;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;45.0;1;1;45.0;1;2;3;40.3125
58;20;456.26;67.54;58.93;51.92;58.45;20;36.06666666666667;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;35.0;1;3;45.0;1;1;40.0;1;2;45.0;1;1;33.0;1;2;2;37.1875
59;14;463.98;78.22;58.93;65.0;52.09;14;33.0;1;19;15;4;7;7;0;1;4;1;32.5;2;35.0;1;2;30.0;1;3;40.0;1;1;30.0;1;2;35.0;1;1;35.0;1;2;2;30.0
60;16;485.01;72.55;49.32;60.25;55.84;11;37.666666666666664;0;15;15;0;7;7;0;1;4;5;40.0;1;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;45.0;1;2;2;35.75
61;15;474.74;81.5;61.41;60.25;67.6;14;36.333333333333336;1;19;15;4;7;6;1;1;4;5;27.5;2;45.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.71875
62;16;463.85;69.99;61.41;62.54;55.84;16;38.0;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;45.0;1;1;40.0;1;2;2;36.1875
63;8;463.31;55.71;66.74;51.92;49.65;8;31.37777777777778;2;25;15;10;7;6;1;1;4;1;21.666666666666668;3;30.0;1;2;40.0;1;3;40.0;1;1;32.5;2;2;35.0;1;1;32.0;1;2;2;32.78125
64;20;480.59;65.25;65.89;63.27;53.56;20;38.0;0;15;15;0;7;7;0;1;4;5;35.0;1;50.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;33.4375
65;0;480.49;72.55;51.73;62.54;67.6;1;38.0;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;35.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;45.0;1;2;2;35.5
66;8;482.21;75.27;66.74;49.87;52.09;8;33.666666666666664;1;19;15;4;7;6;1;1;4;5;22.5;2;40.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;45.0;1;1;45.0;1;2;2;35.15625
67;16;493.93;60.49;66.74;70.81;49.65;16;26.53846153846154;1;17;13;4;6;4;2;2;4;10;15.0;2;15.0;1;2;35.0;1;3;30.0;1;1;40.0;1;2;40.0;1;1;0.0;0;2;1;23.333333333333332
68;20;446.14;69.99;69.69;49.87;58.45;20;36.666666666666664;0;9;9;0;4;4;0;1;4;1;40.0;1;0.0;0;2;30.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;2;33.75
69;5;475.19;67.54;69.69;60.25;49.65;5;18.181818181818183;3;27;11;16;5;1;4;1;4;10;15.0;3;0.0;0;2;16.666666666666668;3;3;40.0;1;1;15.0;2;2;20.0;1;1;0.0;0;2;1;11.25
70;11;489.31;78.22;58.93;65.0;59.81;11;32.111111111111114;1;23;15;8;7;6;1;1;4;5;21.666666666666668;3;35.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;45.0;1;1;40.0;1;2;2;33.6875
71;15;461.13;73.29;58.68;57.36;60.2;15;15.0;0;9;9;0;4;0;4;2;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
72;8;415.29;47.67;41.52;53.95;76.45;8;27.0;2;21;15;6;7;4;3;2;4;1;22.5;2;25.0;2;2;30.0;1;3;40.0;1;1;30.0;1;2;45.0;1;1;15.0;1;2;2;30.0
73;20;411.24;50.54;44.26;58.09;43.48;20;28.653846153846153;2;28;13;15;6;4;2;2;4;1;20.0;4;30.0;1;2;27.5;2;3;40.0;1;1;35.0;1;2;40.0;1;1;0.0;0;2;1;28.61111111111111
74;6;471.49;69.99;58.93;58.09;55.84;7;30.42222222222222;1;23;15;8;7;6;1;1;4;5;23.333333333333332;3;30.0;1;2;30.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;39.0;1;2;1;29.53125
75;0;465.46;69.99;64.0;53.95;53.32;2;29.066666666666666;2;21;15;6;7;5;2;2;4;5;22.5;2;30.0;1;2;30.0;1;3;35.0;1;1;35.0;1;2;35.0;1;1;28.0;2;2;2;36.3125
76;20;492.59;72.55;61.41;65.0;88.67;20;24.444444444444443;0;9;9;0;4;3;1;2;4;1;15.0;1;0.0;0;2;30.0;1;3;35.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;26.25
77;0;426.14;55.71;56.51;58.09;54.57;18;16.11111111111111;0;9;9;0;4;0;4;2;4;10;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;25.0;1;1;0.0;0;2;1;15.0
78;11;493.34;78.22;46.84;65.0;79.55;11;35.666666666666664;1;19;15;4;7;6;1;1;4;5;27.5;2;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;35.78125
79;18;457.59;69.99;58.93;62.54;52.09;18;33.24444444444445;2;25;15;10;7;6;1;1;4;5;26.666666666666668;3;30.0;1;2;35.0;1;3;40.0;1;1;32.5;2;2;40.0;1;1;41.0;1;2;2;36.09375
80;14;501.39;85.28;54.12;60.25;59.81;11;33.333333333333336;0;9;9;0;4;4;0;1;4;1;30.0;1;0.0;0;2;35.0;1;3;40.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;2;33.75
81;10;485.7;60.48;63.43;63.27;57.84;10;30.266666666666666;1;19;15;4;7;6;1;1;4;5;22.5;2;30.0;1;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;37.0;1;2;2;34.375
82;17;499.26;69.99;66.74;60.25;83.41;8;39.93333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;45.0;1;2;45.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;37.0;1;2;3;40.3125
83;15;503.9;55.71;66.74;62.54;73.83;18;15.0;0;9;9;0;4;0;4;2;4;10;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
84;14;493.97;72.55;61.41;67.71;64.23;9;37.333333333333336;0;15;15;0;7;7;0;1;4;1;35.0;1;45.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;31.607142857142858
85;0;371.82;53.2;38.57;49.87;47.21;11;16.11111111111111;0;9;9;0;4;0;4;2;4;10;15.0;1;0.0;0;2;15.0;1;3;25.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
86;21;449.22;69.99;61.41;55.99;58.45;21;32.08888888888889;2;26;15;11;7;6;1;1;4;5;23.333333333333332;3;30.0;1;2;30.0;2;3;35.0;1;1;45.0;1;2;45.0;1;1;34.0;1;2;2;32.75
87;21;410.7;53.2;46.84;65.0;50.87;21;36.53333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;35.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;44.0;1;2;2;33.6875
88;10;490.66;72.55;54.12;55.99;62.69;4;35.55555555555555;1;23;15;8;7;6;1;1;4;1;23.333333333333332;3;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;45.0;1;1;45.0;1;2;2;31.964285714285715
89;6;468.99;81.5;51.73;55.99;54.57;20;36.666666666666664;1;19;15;4;7;7;0;1;4;5;30.0;2;40.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;33.6875
90;14;479.55;81.5;49.32;60.25;62.69;10;32.8;2;26;15;11;7;6;1;1;4;10;20.0;3;40.0;1;2;35.0;2;3;35.0;1;1;40.0;1;2;40.0;1;1;36.0;1;2;2;33.78125
91;3;474.47;67.54;66.74;45.64;88.67;11;37.46666666666667;0;15;15;0;7;7;0;1;4;5;30.0;1;45.0;1;2;35.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;36.0;1;2;2;39.375
92;20;485.65;80.14;56.34;57.36;57.84;20;34.0;0;15;15;0;7;7;0;1;4;5;35.0;1;35.0;1;2;35.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;30.0;1;2;2;34.5625
93;2;486.26;67.54;72.97;60.25;73.83;12;28.88888888888889;0;9;9;0;4;3;1;2;4;10;30.0;1;0.0;0;2;25.0;1;3;30.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;15.0
94;20;480.4;65.16;56.51;60.25;47.21;20;33.55555555555556;1;23;15;8;7;6;1;1;4;10;23.333333333333332;3;35.0;1;2;30.0;1;3;40.0;1;1;45.0;1;2;40.0;1;1;40.0;1;2;1;27.678571428571427
95;8;509.37;89.86;56.51;65.0;65.86;8;30.4;3;23;15;8;7;5;2;1;4;5;22.5;2;32.5;2;2;40.0;1;3;30.0;1;1;22.5;2;2;30.0;1;1;38.0;1;2;2;32.78125
96;0;485.62;69.99;69.69;70.81;52.09;20;17.22222222222222;0;9;9;0;4;0;4;2;4;10;20.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
97;13;487.09;67.54;61.41;53.95;76.45;13;15.0;0;9;9;0;4;0;4;2;4;10;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
98;9;477.07;72.55;56.51;62.54;88.67;8;33.0;1;19;15;4;7;6;1;1;4;5;22.5;2;35.0;1;2;30.0;1;3;45.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.375
99;10;460.95;60.49;66.74;55.99;58.45;10;22.636363636363637;3;45;11;34;5;2;3;1;4;10;13.75;8;27.5;2;2;30.0;1;3;14.0;5;1;0.0;0;2;35.0;1;1;0.0;0;2;1;18.633333333333333
100;14;463.72;89.86;54.12;55.99;50.87;9;36.2;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;30.0;1;3;35.0;1;1;35.0;1;2;40.0;1;1;44.0;1;2;2;30.09375
101;8;479.66;75.27;54.12;65.0;52.09;8;33.333333333333336;0;9;9;0;4;4;0;1;4;1;30.0;1;0.0;0;2;35.0;1;3;40.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;22.5
102;10;466.52;78.22;69.69;58.09;43.48;11;34.0;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;40.0;1;2;2;33.5625
103;0;445.46;75.27;56.51;49.87;73.83;8;26.923076923076923;1;21;13;8;6;5;1;2;4;1;15.0;3;0.0;0;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;30.0;1;2;1;24.166666666666668
104;1;456.64;75.27;51.73;62.54;76.45;11;21.11111111111111;0;9;9;0;4;2;2;2;4;10;15.0;1;0.0;0;2;20.0;1;3;40.0;1;1;0.0;0;2;30.0;1;1;0.0;0;2;1;15.0
105;0;465.76;67.54;54.12;60.25;88.67;10;33.02222222222222;1;23;15;8;7;6;1;1;4;5;23.333333333333332;3;40.0;1;2;35.0;1;3;30.0;1;1;30.0;1;2;35.0;1;1;46.0;1;2;2;32.53125
106;11;433.46;62.82;69.69;58.09;33.63;11;25.384615384615383;1;21;13;8;6;4;2;2;4;10;15.0;3;15.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;0.0;0;2;1;20.833333333333332
107;9;451.46;69.99;56.51;53.95;48.43;9;37.333333333333336;1;19;15;4;7;6;1;1;4;5;27.5;2;45.0;1;2;40.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;50.0;1;2;2;34.6875
108;10;452.98;60.49;66.74;60.25;64.23;10;31.333333333333332;1;19;15;4;7;6;1;1;4;5;22.5;2;30.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;33.1875
109;20;453.98;58.13;64.0;60.25;50.87;20;24.545454545454547;1;15;11;4;5;3;2;2;4;10;15.0;2;0.0;0;2;35.0;1;3;35.0;1;1;15.0;1;2;40.0;1;1;0.0;0;2;1;18.333333333333332
110;18;464.46;65.16;58.93;58.09;50.87;18;35.0;0;15;15;0;7;7;0;1;4;5;35.0;1;35.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;35.0;1;2;2;31.71875
111;9;453.44;69.99;56.51;49.87;62.69;9;17.272727272727273;3;30;11;19;5;1;4;1;4;10;15.0;4;0.0;0;2;16.666666666666668;3;3;35.0;1;1;0.0;0;2;15.0;2;1;15.0;1;2;1;15.0
112;10;413.16;60.49;41.52;49.87;45.98;10;31.833333333333332;2;22;15;7;7;5;2;1;4;5;22.5;2;30.0;1;2;27.5;2;3;45.0;1;1;45.0;1;2;40.0;1;1;35.0;1;2;2;34.15625
113;6;457.61;58.13;66.74;58.09;67.6;6;34.0;1;19;15;4;7;6;1;1;4;5;25.0;2;40.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;32.875
114;10;471.3;58.13;61.41;51.92;53.32;9;23.58974358974359;1;21;13;8;6;3;3;2;4;1;16.666666666666668;3;15.0;1;2;25.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;1;24.166666666666668
115;20;456.33;85.28;58.93;53.95;57.13;20;32.333333333333336;2;21;15;6;7;5;2;1;4;1;27.5;2;27.5;2;2;35.0;1;3;40.0;1;1;30.0;1;2;35.0;1;1;40.0;1;2;1;26.875
116;20;451.49;58.13;61.41;55.99;40.88;2;19.09090909090909;3;48;11;37;5;2;3;1;4;1;15.0;6;0.0;0;2;15.0;6;3;40.0;1;1;15.0;2;2;35.0;1;1;0.0;0;2;1;23.4375
117;15;464.61;60.49;54.12;51.92;48.43;4;15.0;0;9;9;0;4;0;4;2;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;15.0
118;17;440.62;69.99;54.12;53.95;71.53;15;15.0;0;9;9;0;4;0;4;2;4;10;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
