CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,PROMEDIO_NUEVE,NOTA_TELEC_UNO,VECES_TELEC_UNO,CREDITOS_TELEC_UNO,NOTA_TELEMA_UNO,VECES_TELEMA_UNO,CREDITOS_TELEMA_UNO,NOTA_C_UNO,VECES_C_UNO,CREDITOS_C_UNO,NOTA_INSIND,VECES_INSIND,CREDITOS_INSIND,NOTA_BIOING_UNO,VECES_BIOING_UNO,CREDITOS_BIOING_UNO,NOTA_INGECO,VECES_INGECO,CREDITOS_INGECO,NOTA_STG,VECES_STG,CREDITOS_STG,NOTAS_BDATOS,VECES_BDATOS,CREDITOS_BDATOS
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
1,18,18,0,8,7,1,1,3.76667E+14,41,1,3,35,1,2,35,1,3,31,2,3,41,1,2,43,1,2,43,1,1,46,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
1,18,18,0,8,7,1,1,4.21667E+14,39,1,3,33,1,2,30.5,2,3,31,1,3,47,1,2,34,1,2,38,1,1,44,1,2
1,18,15,3,8,7,1,1,4.14167E+14,37,1,3,43,1,2,16.66666667,3,3,30,1,3,38,1,2,31,1,2,45,1,1,31,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,18,18,0,8,8,0,1,4.23333E+14,40,1,3,43,1,2,40,1,3,45,1,3,48,1,2,47,1,2,47,1,1,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
1,18,15,3,8,7,1,1,4.26667E+14,41,1,3,40,1,2,25.5,2,3,34,1,3,39,1,2,46,1,2,45,1,1,47,1,2
0,18,18,0,8,8,0,1,4.21667E+14,35,1,3,39,1,2,32,1,3,33,1,3,44,1,2,42,1,2,49,1,1,44,1,2
1,18,16,2,8,7,1,1,4.26667E+14,45,1,3,27,2,2,39,1,3,41,1,3,46,1,2,43,1,2,45,1,1,40,1,2
1,18,18,0,8,7,1,1,4.38333E+14,47,1,3,39,1,2,32,2,3,42,1,3,38,1,2,43,1,2,48,1,1,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,18,18,0,8,8,0,1,4.26667E+14,39,1,3,42,1,2,40,1,3,47,1,3,49,1,2,50,1,2,44,1,1,50,1,2
0,18,18,0,8,8,0,1,43,42,1,3,46,1,2,40,1,3,43,1,3,49,1,2,43,1,2,48,1,1,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
1,18,15,3,8,7,1,1,38.5,36,1,3,37,1,2,35,1,3,28.5,2,3,42,1,2,32,1,2,42,1,1,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,18,18,0,8,8,0,1,4.11667E+14,48,1,3,41,1,2,35,1,3,36,1,3,49,1,2,45,1,2,44,1,1,50,1,2
0,18,18,0,8,8,0,1,4.26667E+14,43,1,3,40,1,2,35,1,3,42,1,3,48,1,2,46,1,2,44,1,1,50,1,2
1,18,0,18,1,0,1,2,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,12,2,2
1,18,12,6,7,6,1,1,3.93333E+14,30,1,3,34,1,2,27.5,2,3,0,0,3,48,1,2,43,1,2,45,1,1,41,1,2
1,18,15,3,8,7,1,1,39.5,35,1,3,35,1,2,29,2,3,36,1,3,44,1,2,38,1,2,47,1,1,47,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
1,18,15,3,8,7,1,1,4.21667E+14,40,1,3,34,1,2,19,2,3,34,1,3,40,1,2,37,1,2,45,1,1,41,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
1,18,15,3,8,7,1,1,4.18333E+14,31,1,3,39,1,2,27.33333333,3,3,47,1,3,48,1,2,40,1,2,50,1,1,44,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
2,18,15,3,8,6,2,1,4.11667E+14,34,1,3,41,1,2,24.5,2,3,32,1,3,44,1,2,43,1,2,33,2,1,33,1,2
1,18,15,3,8,7,1,1,4.38333E+14,36,1,3,42,1,2,18,3,3,30,1,3,49,1,2,49,1,2,47,1,1,46,1,2
0,18,18,0,8,8,0,1,4.21667E+14,39,1,3,40,1,2,37,1,3,36,1,3,49,1,2,43,1,2,47,1,1,49,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
0,18,18,0,8,8,0,1,3.91667E+14,34,1,3,43,1,2,30,1,3,31,1,3,49,1,2,34,1,2,43,1,1,46,1,2
1,18,18,0,8,7,1,1,47,47,1,3,37,1,2,30,2,3,43,1,3,47,1,2,43,1,2,48,1,1,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,1,0,0,2
2,18,12,6,8,6,2,1,39.5,31,1,3,34,1,2,21.66666667,3,3,29,2,3,40,1,2,31,1,2,43,1,1,45,1,2
