NOTA_EI_CINCO,VECES_EI_CINCO,CREDITOS_EI_CINCO,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_EI_SEIS,VECES_EI_SEIS,CREDITOS_EI_SEIS,NOTA_ORD_TER,VECES_ORD_TER,CREDITOS_ORD_TER,NOTA_TG_UNO,VECES_TG_UNO,CREDITOS_TG_UNO,CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,ESTADO NUEVE,PROMEDIO_DIEZ
38,1,3,39,1,2,42,1,3,37,1,3,50,2,2,1,13,13,0,5,5,0,1,1,41.54545455
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,50,1,2,0,0,3,0,0,3,0,0,2,0,13,2,11,2,1,4,2,3,0
31,1,3,34,1,2,0,0,3,30,1,3,35,1,2,0,13,10,3,4,4,1,1,1,38.45454545
30,1,3,42,1,2,0,0,3,44,1,3,0,0,2,0,13,8,5,4,3,2,1,1,36.75
39,1,3,47,1,2,37,1,3,41,1,3,46,1,2,0,13,13,0,5,5,0,1,1,43.81818182
37,1,3,49,1,2,0,0,3,39,1,3,32,1,2,0,13,10,3,4,4,1,1,1,46.09090909
41,1,3,46,1,2,0,0,3,44,1,3,47,1,2,0,13,10,3,4,4,1,1,1,46.45454545
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
35,1,3,35,1,2,0,0,3,43,1,3,0,0,2,0,13,8,5,4,3,2,1,1,38.5
41,1,3,48,1,2,37,1,3,41,1,3,39,1,2,0,13,13,0,5,5,0,1,1,41.90909091
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
32,1,3,0,0,2,0,1,3,43,1,3,0,0,2,0,13,6,7,4,2,3,2,3,37.2
30,1,3,42,1,2,0,0,3,45,1,3,36,1,2,0,13,10,3,4,4,1,1,1,38.72727273
40,1,3,39,1,2,0,0,3,47,1,3,47,1,2,0,13,10,3,4,4,1,1,1,40.09090909
41,1,3,46,1,2,42,1,3,45,1,3,47,1,2,0,13,13,0,5,5,0,1,1,45
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
42,1,3,50,1,2,0,0,3,43,1,3,44,1,2,0,13,10,3,4,4,1,1,1,41.18181818
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
36,1,3,50,1,2,36,1,3,37,1,3,50,1,2,0,13,13,0,5,5,0,1,1,37.5
37,1,3,50,1,2,0,0,3,34,1,3,35,2,2,1,13,10,3,4,4,1,1,1,40.09090909
31,1,3,0,0,2,40,1,3,41,1,3,46,1,2,0,13,11,2,4,4,1,1,1,43
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
37,1,3,48,1,2,0,0,3,40,1,3,50,1,2,0,13,10,3,4,4,1,1,1,41.72727273
34,1,3,39,1,2,0,0,3,40,1,3,49,1,2,0,13,10,3,4,4,1,1,1,43
0,0,3,0,0,2,0,0,3,39,1,3,0,0,2,0,13,3,10,2,1,4,2,3,35
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
38,1,3,40,1,2,41,1,3,37,1,3,34,1,2,0,13,13,0,5,5,0,1,1,43.18181818
32,1,3,49,1,2,33,1,3,43,1,3,34,1,2,0,13,13,0,5,5,0,1,1,39.875
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
36,1,3,42,1,2,30,1,3,42,1,3,39,1,2,0,13,13,0,5,5,0,1,1,41.36363636
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
31,1,3,44,1,2,0,0,3,37,1,3,47,1,2,0,13,10,3,4,4,1,1,1,41.09090909
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
41,1,3,37,1,2,0,0,3,41,1,3,44,1,2,0,13,10,3,4,4,1,1,1,41.90909091
39,1,3,50,1,2,31,1,3,47,1,3,34,1,2,0,13,13,0,5,5,0,1,1,41.875
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
